14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 29 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 30 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 31 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 32 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.146 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.146 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 33 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 34 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 35 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 36 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 37 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 38 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 39 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.147 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 40 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.147 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 41 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 42 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 43 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 44 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 45 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 46 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 47 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.148 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 48 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.148 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 49 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 50 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 2 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.149 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.149 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 3 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
